"","GeneName"
"3166","Rapgef3"
"3167","Pofut1"
"3168","Fam84b"
"3169","Aldh6a1"
"3170","Msmp"
"3171","Ism1"
"3172","Tmco4"
"3173","Gpcpd1"
"3174","Pla2g5"
"3175","Zfp618"
"3176","Gm10762"
"3177","1810024B03Rik"
"3178","Gm11266"
"3179","Cdk6"
"3180","Trip10"
"3181","Dok7"
"3182","Nop14"
"3183","Rnf4"
"3184","Nat8"
"3185","Tmem129"
"3186","Morn5"
"3187","1700113A16Rik"
"3188","Fzd4"
"3189","Ciz1"
"3190","Ptges"
"3191","Tmem164"
"3192","Rax"
"3193","Gm43477"
"3194","Sox13"
"3195","Cox7b2"
"3196","Eif4e3"
"3197","Apln"
"3198","Irak2"
"3199","Ube2a"
"3200","Slc25a43"
"3201","Gm2115"
"3202","Ccdc74a"
"3203","Cfap126"
"3204","Dmkn"
"3205","Myoz2"
"3206","2410004P03Rik"
"3207","Rnd3"
"3208","Gem"
"3209","Aldh18a1"
"3210","Phxr4"
"3211","Nfkb2"
"3212","Fpgs"
"3213","Pvrl3"
"3214","Skida1"
"3215","Psma6"
"3216","Taf1b"
"3217","Tdp2"
"3218","Grm3"
"3219","Shh"
"3220","Fxyd3"
"3221","Marf1"
"3222","Tmem145"
"3223","Mro"
"3224","Gm1043"
"3225","Epha3"
"3226","Rbm4"
"3227","Egf"
"3228","Sp8"
"3229","Kcnj12"
"3230","Syn3"
"3231","RP23-218K15.3"
"3232","Gcsh"
"3233","Gm10941"
"3234","Dlx6"
"3235","Spon1"
"3236","Pcgf1"
"3237","Gucy2e"
"3238","Arntl"
"3239","Gm26512"
"3240","Arid3a"
"3241","Slc2a10"
"3242","Atxn7l2"
"3243","Itgae"
"3244","Plppr3"
"3245","Gm16006"
"3246","Ovgp1"
"3247","Rom1"
"3248","6720427I07Rik"
"3249","Sowahc"
"3250","2700069I18Rik"
"3251","Mcmdc2"
"3252","Zfp711"
"3253","Fam181a"
"3254","Pola1"
"3255","Hsf4"
"3256","Haus6"
"3257","Plekhd1"
"3258","RP23-207N5.5"
"3259","Emp2"
"3260","Rai2"
"3261","Nup43"
"3262","Arxes2"
"3263","St8sia2"
"3264","Fbrsl1"
"3265","Gm7967"
"3266","Dpysl5"
"3267","Frem2"
"3268","Sox1"
"3269","Intu"
"3270","Ccdc18"
"3271","D930028M14Rik"
"3272","Hmgn5"
"3273","Gm26843"
"3274","Pde9a"
"3275","Magohb"
"3276","Nat1"
"3277","Dnttip2"
"3278","Gm26523"
"3279","Gm13199"
"3280","Cth"
"3281","Gm29508"
"3282","Tst"
"3283","Hsd11b1"
"3284","Slc6a1"
"3285","Slc1a3"
"3286","Ptprz1"
"3287","Fads2"
"3288","Baalc"
"3289","Scg3"
"3290","Il33"
"3291","Entpd2"
"3292","Acsbg1"
"3293","Gpr37l1"
"3294","Eva1a"
"3295","Cbs"
"3296","Paqr7"
"3297","Lpin3"
"3298","AI464131"
"3299","Clu"
"3300","Hapln1"
"3301","F3"
"3302","Ednrb"
"3303","Vcam1"
"3304","Fam227b"
"3305","Aldoc"
"3306","Mt1"
"3307","Mt2"
"3308","Abhd3"
"3309","Gm5083"
"3310","Dtna"
"3311","Slc1a2"
"3312","Enho"
"3313","Atp1b2"
"3314","Lhx2"
"3315","Gm3764"
"3316","3110082J24Rik"
"3317","Bcan"
"3318","Adora2b"
"3319","Hepacam"
"3320","Cxcl14"
"3321","Slc15a2"
"3322","Ccdc189"
"3323","Lsm2"
"3324","Gm7694"
"3325","6720483E21Rik"
"3326","Spats1"
"3327","Fam184a"
"3328","Wdr75"
"3329","BC025920"
"3330","A2m"
"3331","Fxn"
"3332","Fam207a"
"3333","Cecr2"
"3334","Tead3"
"3335","Slc13a5"
"3336","Mtrr"
"3337","Sfxn1"
"3338","Wdr5"
"3339","Adgrg1"
"3340","Pcdhb6"
"3341","Mogat1"
"3342","Phf21b"
"3343","Prr5"
"3344","Rgs12"
"3345","Klhdc7a"
"3346","Stac2"
"3347","Pcdhb19"
"3348","Endou"
"3349","Fbn2"
"3350","Il20ra"
"3351","Ppargc1a"
"3352","RP23-223O9.2"
"3353","Arg2"
"3354","Muc3a"
"3355","Ccdc116"
"3356","Tmem44"
"3357","Car3"
"3358","Sparcl1"
"3359","Mgll"
"3360","Cxcl5"
"3361","Pbxip1"
"3362","Wnt7a"
"3363","Igsf1"
"3364","Ltbp1"
"3365","Pnpla7"
"3366","Tmem47"
"3367","Sfxn5"
"3368","Atp7b"
"3369","Cideb"
"3370","9630001P10Rik"
"3371","Fgfr1"
"3372","Bmpr1a"
"3373","Hs3st3b1"
"3374","Lpar4"
"3375","Glud1"
"3376","P2rx6"
"3377","Nwd1"
"3378","Foxj1"
"3379","Fam234a"
"3380","Cldn19"
"3381","Ivd"
"3382","Mtss1l"
"3383","Adgrb1"
"3384","Metrn"
"3385","Grin3a"
"3386","Cidea"
"3387","Pgm2"
"3388","Kcnj10"
"3389","Tnc"
"3390","Rcn2"
"3391","Gpd2"
"3392","Ctnnbip1"
"3393","Fbxo2"
"3394","Etnppl"
"3395","Sdsl"
"3396","Cybrd1"
"3397","Prex1"
"3398","Prdx6"
"3399","Galnt18"
"3400","Rgma"
"3401","Elovl2"
"3402","Chst2"
"3403","Gldc"
"3404","Prss23"
"3405","Id4"
"3406","Greb1"
"3407","Gys1"
"3408","Ntsr2"
"3409","Axl"
"3410","Paqr8"
"3411","P4ha3"
"3412","Prss50"
"3413","Fxyd1"
"3414","Lrig1"
"3415","Amt"
"3416","Slc35f6"
"3417","St6gal1"
"3418","A230028O05Rik"
"3419","Plk1"
"3420","Sepn1"
"3421","Ifnlr1"
"3422","Cdc20"
"3423","Med12"
"3424","Cdhr4"
"3425","Tor1b"
"3426","Cpt1a"
"3427","Rnf135"
"3428","Slc25a34"
"3429","Ryk"
"3430","Gm29367"
"3431","Dmrta2os"
"3432","Fads1"
"3433","AI849053"
"3434","BC026585"
"3435","Nek2"
"3436","Papss2"
"3437","Spc25"
"3438","mt-Nd6"
"3439","Palld"
"3440","Arhgef26"
"3441","Adgra3"
"3442","Ttyh1"
"3443","Mccc2"
"3444","Tpk1"
"3445","Gm20692"
"3446","D030055H07Rik"
"3447","Dpp7"
"3448","Dusp18"
"3449","Gm11681"
"3450","Hsdl2"
"3451","Kctd15"
"3452","Irs3"
"3453","Il18bp"
"3454","Tspan18"
"3455","Gm15972"
"3456","Tpp1"
"3457","Aqp9"
"3458","Ndrg2"
"3459","1700007K13Rik"
"3460","Pld2"
"3461","Gm10629"
"3462","Plekha4"
"3463","Mthfd2l"
"3464","Plxnb1"
"3465","Srpx"
"3466","Zfp36l2"
"3467","Lrp4"
"3468","Gm11827"
"3469","Zbtb20"
"3470","Igdcc3"
"3471","Tbc1d10a"
"3472","Fam107a"
"3473","Dera"
"3474","Sec24c"
"3475","Cops3"
"3476","Smpd2"
"3477","Mthfd1"
"3478","Polr1c"
"3479","Wdr78"
"3480","Galnt4"
"3481","Cntrob"
"3482","Spsb4"
"3483","Nat6"
"3484","Clcc1"
"3485","Apoc1"
"3486","Rrbp1"
"3487","Kcnj16"
"3488","Irf1"
"3489","Aldh7a1"
"3490","Gm13111"
"3491","Chpt1"
"3492","Fam210b"
"3493","A730036I17Rik"
"3494","Dlg5"
"3495","Map3k14"
"3496","Gpr156"
"3497","Serhl"
"3498","Naprt"
"3499","Cyp2j9"
"3500","Zcchc24"
"3501","Sars2"
"3502","Crb2"
"3503","Nrn1l"
"3504","Ddx60"
"3505","Tmem168"
"3506","Dirc2"
"3507","Tmem19"
"3508","Pts"
"3509","Tnfrsf1a"
"3510","Ppox"
"3511","Apeh"
"3512","D6Wsu163e"
"3513","Ptcd1"
"3514","Pdk4"
"3515","Hapln3"
"3516","Traf3ip3"
"3517","Gm6356"
"3518","Anks1"
"3519","Mmp14"
"3520","Zfp521"
"3521","Gm973"
"3522","Traf3"
"3523","Gm17455"
"3524","Glis3"
"3525","Taf5l"
"3526","Adat2"
"3527","Snta1"
"3528","Ap3b1"
"3529","Gcnt4"
"3530","Dnaic1"
"3531","Otx2"
"3532","Elmod3"
"3533","Pttg1ip"
"3534","Gli2"
"3535","Xkr8"
"3536","Mob1a"
"3537","Man1c1"
"3538","Tlr6"
"3539","C030037D09Rik"
"3540","Cyp4f14"
"3541","Zmpste24"
"3542","C030018K13Rik"
"3543","Pard3b"
"3544","9130213A22Rik"
"3545","Ggh"
"3546","Celrr"
"3547","Trhr"
"3548","Fjx1"
"3549","Dhtkd1"
"3550","Acss1"
"3551","Klf15"
"3552","Ghdc"
"3553","Prkd1"
"3554","Dhx58"
"3555","Ptch1"
"3556","Tmx3"
"3557","Il15ra"
"3558","Zscan20"
"3559","Leng1"
"3560","Rps5"
"3561","Ccdc122"
"3562","Wdr89"
"3563","Gm2a"
"3564","Arhgdib"
"3565","Ubtd1"
"3566","Rps27a"
"3567","Rpl27"
"3568","Erich1"
"3569","Rpl23a"
"3570","Fau"
"3571","Cbfa2t3"
"3572","Stat5a"
"3573","Rps19"
"3574","Rab32"
"3575","Cotl1"
"3576","Rpl17"
"3577","Parp14"
"3578","Naga"
"3579","Pfn1"
"3580","Myd88"
"3581","Agpat2"
"3582","Tlcd2"
"3583","Cdkn1a"
"3584","Heatr5a"
"3585","Rps29"
"3586","Rpl34"
"3587","Mtl5"
"3588","Rps14"
"3589","Vim"
"3590","Grk5"
"3591","Rps9"
"3592","Trappc5"
"3593","Gm10260"
"3594","Rpl12"
"3595","Ppp1r18"
"3596","Rplp0"
"3597","Rps12"
"3598","H2-D1"
"3599","Cdk2ap2"
"3600","H2afz"
"3601","Rps23"
"3602","St3gal4"
"3603","Cd44"
"3604","Rpl14"
"3605","Rps7"
"3606","Pdlim5"
"3607","Ddx19b"
"3608","Arrdc4"
"3609","Ppm1m"
"3610","Vasp"
"3611","G0s2"
"3612","Rps20"
"3613","Arpc2"
"3614","H2-K1"
"3615","Coro1a"
"3616","Rpl28"
"3617","AI839979"
"3618","Rps25"
"3619","Traf1"
"3620","Gdpd3"
"3621","Rpl13"
"3622","Rps28"
"3623","Eif4ebp1"
"3624","Rpl18"
"3625","Uhrf1bp1"
"3626","Rps10"
"3627","Psmb8"
"3628","Tap1"
"3629","Csf2ra"
"3630","Psmb9"
"3631","Rps26"
"3632","Rpl5"
"3633","Nr4a1"
"3634","Rpl6"
"3635","H2-DMa"
"3636","Pvr"
"3637","Cnn2"
"3638","6430531B16Rik"
"3639","Tiparp"
"3640","Zyx"
"3641","Rpl30"
"3642","Rps15"
"3643","Eef1b2"
"3644","Rpl10"
"3645","Wipf1"
"3646","Rps27rt"
"3647","Rpl32"
"3648","Uba52"
"3649","Rpl18a"
"3650","Rassf4"
"3651","Serp1"
"3652","Gm9843"
"3653","Rpl35"
"3654","Syngr2"
"3655","Rps3a1"
"3656","Tmc6"
"3657","Prcp"
"3658","Stk17b"
"3659","Socs3"
"3660","Zc3hav1"
"3661","Tnfsf9"
"3662","Rpl4"
"3663","Rps27l"
"3664","Osgep"
"3665","Zc3h12a"
"3666","Ifi27l2a"
"3667","Btg2"
"3668","Snrpg"
"3669","Lck"
"3670","Pik3c3"
"3671","Gm20387"
"3672","Rpl36a"
"3673","Emb"
"3674","Rad51c"
"3675","Actr3"
"3676","Mapkapk2"
"3677","Vrk1"
"3678","Ehf"
"3679","Junb"
"3680","Rps4x"
"3681","Rpl37"
"3682","Rab27a"
"3683","Rpl11"
"3684","Cdc42"
"3685","Rps3"
"3686","Lgals3"
"3687","Runx1"
"3688","Relt"
"3689","Rpl27a"
"3690","S100a6"
"3691","Rpl39"
"3692","S100a4"
"3693","Prkcd"
"3694","Rps16"
"3695","Zfp36"
"3696","Ccnd3"
"3697","Rps27"
"3698","Rps11"
"3699","Nfkbie"
"3700","Rplp2"
"3701","Rps24"
"3702","Rpl19"
"3703","Rpl23"
"3704","Rps17"
"3705","Rps6"
"3706","Rps13"
"3707","Rpl22"
"3708","Lactb2"
"3709","Tes"
"3710","Ryr1"
"3711","Fh1"
"3712","Ppil6"
"3713","Mettl5"
"3714","Gpx1"
"3715","Rpl7"
"3716","Rps15a"
"3717","Alox5ap"
"3718","Gng10"
"3719","Gnb2l1"
"3720","Ftl1"
"3721","Il10rb"
"3722","1700003F12Rik"
"3723","Hmox1"
"3724","Slc9a9"
"3725","Blvrb"
"3726","Apoe"
"3727","Ehd4"
"3728","Snx2"
"3729","Dusp1"
"3730","Snap23"
"3731","Clta"
"3732","Fcgrt"
"3733","Nrros"
"3734","Bst2"
"3735","Hpgd"
"3736","Hacd4"
"3737","Gm10644"
"3738","Nfatc2"
"3739","Ebi3"
"3740","Ctsc"
"3741","Lst1"
"3742","Apobec1"
"3743","Tm4sf5"
"3744","Il4ra"
"3745","Txnip"
"3746","P2rx4"
"3747","Prorsd1"
"3748","Hfe"
"3749","Dse"
"3750","Ctsb"
"3751","Samhd1"
"3752","Dab2"
"3753","Vamp8"
"3754","Tmem106a"
"3755","Dnajb13"
"3756","Gas6"
"3757","Dcxr"
"3758","Npl"
"3759","Tfe3"
"3760","Gm5093"
"3761","Ildr1"
"3762","Gm10083"
"3763","Caps2"
"3764","Zfp282"
"3765","Dnah11"
"3766","Arhgap22"
"3767","Grm8"
"3768","Zfp433"
"3769","Arhgap27os2"
"3770","Gipr"
"3771","Ampd2"
"3772","Poc5"
"3773","Tubgcp5"
"3774","Zfp174"
"3775","Grn"
"3776","Fam105a"
"3777","Tgif1"
"3778","Serinc3"
"3779","Gngt2"
"3780","Abi3"
"3781","Cst3"
"3782","Ctsh"
"3783","Tpst2"
"3784","Crybb1"
"3785","Ctsa"
"3786","Cmtm6"
"3787","Rnaset2a"
"3788","Tagap"
"3789","Cyba"
"3790","Fgd2"
"3791","Edem2"
"3792","Apbb1ip"
"3793","Hpgds"
"3794","Blnk"
"3795","Casp8"
"3796","Cmtm7"
"3797","Camk1"
"3798","Hk2"
"3799","Lgmn"
"3800","Ptgs1"
"3801","Pycard"
"3802","Rp2"
"3803","Sqrdl"
"3804","Ccrl2"
"3805","Arl4c"
"3806","Ctsd"
"3807","Cyth4"
"3808","Gal3st4"
"3809","Creg1"
"3810","Cd68"
"3811","B2m"
"3812","Rgs10"
"3813","Ctsz"
"3814","Acads"
"3815","Rpn2"
"3816","Mertk"
"3817","Ptpn1"
"3818","2610028E06Rik"
"3819","Zdhhc13"
"3820","4732440D04Rik"
"3821","Zkscan17"
"3822","Tmem59"
"3823","Cks2"
"3824","Dusp2"
"3825","Srek1ip1"
"3826","Slc35d2"
"3827","Pla2g15"
"3828","Ctc1"
"3829","RP23-378D16.4"
"3830","Golm1"
"3831","Rem2"
"3832","Gemin6"
"3833","Dbndd1"
"3834","Slco2b1"
"3835","Psmc6"
"3836","Slc24a5"
"3837","Zfp658"
"3838","Cnot8"
"3839","Nasp"
"3840","Nelfe"
"3841","Esd"
"3842","Commd2"
"3843","Sfmbt1"
"3844","G630016G05Rik"
"3845","Mkrn3"
"3846","Rpgr"
"3847","Mafb"
"3848","Setd6"
"3849","Zfhx3"
"3850","Ube2i"
"3851","Igtp"
"3852","Lpar6"
"3853","Plcb2"
"3854","Pde3b"
"3855","Chst7"
"3856","2610305D13Rik"
"3857","Trim27"
"3858","Tmem30c"
"3859","Capza2"
"3860","Trmt10c"
"3861","Klhl12"
"3862","Gm17399"
"3863","Txnrd1"
"3864","1700017B05Rik"
"3865","Entpd1"
"3866","Thap4"
"3867","2900060B14Rik"
"3868","Scamp2"
"3869","Nfkbiz"
"3870","Myc"
"3871","Tapbpl"
"3872","Gmip"
"3873","Rpl21"
"3874","Ubash3b"
"3875","Lmbr1l"
"3876","Sla"
"3877","Cct7"
"3878","Zfp445"
"3879","Asah1"
"3880","Cct5"
"3881","Psmc2"
"3882","Tpcn2"
"3883","Itga9"
"3884","Pdia5"
"3885","Pou2f2"
"3886","Itgb5"
"3887","Ier5"
"3888","Tmem176b"
"3889","Liph"
"3890","Dbnl"
"3891","Tgfb1"
"3892","Plxnb2"
"3893","Klf3"
"3894","Spc24"
"3895","Rcl1"
"3896","Poglut1"
"3897","Xylb"
"3898","Tpr"
"3899","Slc10a4"
"3900","Bid"
"3901","Clcn1"
"3902","Draxin"
"3903","Edaradd"
"3904","Gm4890"
"3905","Gm11713"
"3906","Gusb"
"3907","Hmgn1"
"3908","P2rx7"
"3909","Srgap2"
"3910","Vstm5"
"3911","Zbtb39"
"3912","Nab2"
"3913","Naca"
"3914","Hnrnph3"
"3915","Rpl6l"
"3916","Anapc10"
"3917","Rassf5"
"3918","Gpn2"
"3919","Slc39a11"
"3920","Myl2"
"3921","Slc12a9"
"3922","Agmo"
"3923","Irgm2"
"3924","Hexa"
"3925","Gm30731"
"3926","Abcg1"
"3927","Akr1b10"
"3928","Agbl3"
"3929","Ccdc115"
"3930","Immp2l"
"3931","Kctd21"
"3932","1600014C23Rik"
"3933","Itm2b"
"3934","Gm18025"
"3935","Trim56"
"3936","Cep128"
"3937","Plekho1"
"3938","2210008F06Rik"
"3939","Catip"
"3940","Med9os"
"3941","Pomt1"
"3942","Gna13"
"3943","Rcbtb2"
"3944","0610040J01Rik"
"3945","Mettl25"
"3946","Ccdc59"
"3947","Pi4k2b"
"3948","Gm26660"
"3949","Ip6k3"
"3950","Tor1aip1"
"3951","Sh2b2"
"3952","Mthfs"
"3953","Cc2d2a"
"3954","Veph1"
"3955","Gpr50"
"3956","Exoc6"
"3957","Fam49b"
"3958","Mettl20"
"3959","Ncoa3"
"3960","Bglap2"
"3961","Parvg"
"3962","Stxbp2"
"3963","Nfkb1"
"3964","Bhlhe41"
"3965","Erp29"
"3966","Lamp2"
"3967","Otx1"
"3968","Taf6l"
"3969","Chrnb4"
"3970","Chsy1"
"3971","Syk"
"3972","Tufm"
"3973","A330041J22Rik"
"3974","Actr5"
"3975","Nfkbia"
"3976","RP24-445D7.2"
"3977","Zhx2"
"3978","Mtbp"
"3979","B230208H11Rik"
"3980","Ccdc166"
"3981","Arid3b"
"3982","Card9"
"3983","Gemin2"
"3984","Pvrl4"
"3985","Samd13"
"3986","Kcns1"
"3987","Slc25a5"
"3988","Plxdc2"
"3989","Rela"
"3990","Rab3il1"
"3991","Tm6sf1"
"3992","Inpp5d"
"3993","Naglu"
"3994","Dok1"
"3995","Plod1"
"3996","Kcnk12"
"3997","Edem1"
"3998","P3h2"
"3999","Gm10561"
"4000","Fam228b"
"4001","Rreb1"
"4002","Btg3"
"4003","Gm15545"
"4004","Lrrc3"
"4005","Card6"
"4006","Hdac8"
"4007","Vhl"
"4008","Sema4g"
"4009","Acad11"
"4010","Tmem52"
"4011","Fam122a"
"4012","Atp7a"
"4013","Rgmb"
"4014","Rps6ka2"
"4015","Ggps1"
"4016","Cdca8"
"4017","Gm26532"
"4018","Hk1os"
"4019","Mcm5"
"4020","Map3k8"
"4021","Jam2"
"4022","Zfp719"
"4023","2810407A14Rik"
"4024","Cnbp"
"4025","Suclg2"
"4026","Spcs2"
"4027","Xrcc2"
"4028","AI429214"
"4029","Tnfaip8"
"4030","A330048O09Rik"
"4031","Pfkfb4"
"4032","6430573F11Rik"
"4033","Ttc27"
"4034","Rabl3"
"4035","Ppp1r15a"
"4036","Ivns1abp"
"4037","Xrcc5"
"4038","Slc16a3"
"4039","Gdpd2"
"4040","Abcb1b"
"4041","Tmem243"
"4042","Spag5"
"4043","Derl2"
"4044","1700096K18Rik"
"4045","Dnase2a"
"4046","Ccdc146"
"4047","Ttc23"
"4048","Epb41l5"
"4049","Mios"
"4050","Zfp146"
"4051","Tcirg1"
"4052","AW146154"
"4053","Dusp6"
"4054","Pros1"
"4055","Col9a2"
"4056","Rrp15"
"4057","Atp8b5"
"4058","Ccdc71"
"4059","Gtf2h2"
"4060","Ppara"
"4061","Cep83os"
"4062","Sil1"
"4063","Frrs1"
"4064","Cda"
"4065","Nfya"
"4066","Ostc"
"4067","Trim5"
"4068","B230112J18Rik"
"4069","Nek6"
"4070","Tifa"
"4071","9330121J05Rik"
"4072","Galnt12"
"4073","Mks1"
"4074","Depdc5"
"4075","B3galt6"
"4076","Tox4"
"4077","Nubpl"
"4078","Zfp385a"
"4079","Cdca7l"
"4080","Rnft1"
"4081","Slc16a6"
"4082","Pex13"
"4083","Mblac1"
"4084","Pgap3"
"4085","Prdm5"
"4086","Mvp"
"4087","Khk"
"4088","Rin2"
"4089","Alox12"
"4090","Pcdhb22"
"4091","Trpv2"
"4092","Rgs2"
"4093","Ppp2r1b"
"4094","Gm16984"
"4095","Il13ra2"
"4096","Eci3"
"4097","Ddx59"
"4098","Pcsk1"
"4099","Gtf2f2"
"4100","Gm17025"
"4101","Alg5"
"4102","Cd55"
"4103","PISD"
"4104","Jph1"
"4105","Vangl2"
"4106","Usp21"
"4107","Bhlhb9"
"4108","Limk2"
"4109","Pck2"
"4110","Tceal7"
"4111","Lemd1"
"4112","Cul5"
"4113","Vps13a"
"4114","1110032A03Rik"
"4115","Armcx2"
"4116","Rnf185"
"4117","Rcor2"
"4118","Fgf9"
"4119","Rb1cc1"
"4120","Copa"
"4121","Teddm2"
"4122","Rab3gap1"
"4123","Pfkfb2"
"4124","Armcx5"
"4125","Apoo"
"4126","Anp32a"
"4127","Dpp10"
"4128","Drg2"
"4129","Pcyt1b"
"4130","Alyref2"
"4131","Ccnt2"
"4132","Klhdc9"
"4133","Gm684"
"4134","Mpz"
"4135","Abcb7"
"4136","Mmgt1"
"4137","Foxo4"
"4138","Ddx26b"
"4139","Psmb5"
"4140","2310009B15Rik"
"4141","Zmiz2"
"4142","Nek7"
"4143","Cspp1"
"4144","Stk25"
"4145","Prtg"
"4146","Hdlbp"
"4147","Gpr161"
"4148","Rlim"
"4149","Ccdc181"
"4150","Gm7160"
"4151","Neo1"
"4152","Pabpn1"
"4153","Tmod2"
"4154","Il25"
"4155","Gm10053"
"4156","Prrg3"
"4157","Tbrg4"
"4158","Mtmr1"
"4159","Ccdc36"
"4160","Gm29514"
"4161","Mtmr3"
"4162","Ftx"
"4163","Gramd2"
"4164","Gm16701"
"4165","Ipo9"
"4166","Fam78b"
"4167","Ophn1"
"4168","Tle3"
"4169","Pten"
"4170","Pum3"
"4171","2410022M11Rik"
"4172","Nos1ap"
"4173","Snrpe"
"4174","Wdr6"
"4175","Atf6"
"4176","Dusp12"
"4177","Rab8b"
"4178","Ireb2"
"4179","Ip6k1"
"4180","Slc35e4"
"4181","Lamc2"
"4182","Il1rapl1"
"4183","Armcx1"
"4184","Ift88"
"4185","Snhg6"
"4186","Ar"
"4187","Uap1"
"4188","Lztfl1"
"4189","Gm26901"
"4190","Tmem183a"
"4191","Abhd4"
"4192","Dmd"
"4193","Ogdh"
"4194","Gpc4"
"4195","Tmed4"
"4196","Ppip5k2"
"4197","Qrich1"
"4198","Chm"
"4199","Slc25a14"
"4200","Rab1a"
"4201","Msc"
"4202","Tab3"
"4203","Usp3"
"4204","Tspan6"
"4205","Fbxl15"
"4206","Otub1"
"4207","Mbd5"
"4208","P4ha2"
"4209","Dcp2"
"4210","Tgm3"
"4211","Ubox5"
"4212","Pcdh8"
"4213","Lzts3"
"4214","Bmper"
"4215","Prnp"
"4216","Nabp1"
"4217","Vps16"
"4218","Zc3h6"
"4219","Rnf219"
"4220","Lancl1"
"4221","Atr"
"4222","Ap4e1"
"4223","Tanc1"
"4224","Pkp4"
"4225","Trpc1"
"4226","Pcolce2"
"4227","Rab3d"
"4228","Lars"
"4229","Snrnp200"
"4230","Tmem194b"
"4231","Paqr9"
"4232","Rif1"
"4233","Flrt3"
"4234","March4"
"4235","Pcsk2os1"
"4236","Abhd12"
"4237","Slc6a7"
"4238","Tor1a"
"4239","Snph"
"4240","Csnk1a1"
"4241","Stk16"
"4242","B230217O12Rik"
"4243","Fbxo38"
"4244","Wdr7"
"4245","Slc27a4"
"4246","Atp8b1"
"4247","Scn1a"
"4248","Synpo"
"4249","Enox1"
"4250","Pcsk2"
"4251","Ncapd3"
"4252","Fbxw2"
"4253","Csrp2bp"
"4254","Csnk1g3"
"4255","Mfap3"
"4256","Gm13524"
"4257","Gzf1"
"4258","Rasgrf1"
"4259","Slc25a25"
"4260","Gm29539"
"4261","Uck1"
"4262","Csnk2a1"
"4263","Peo1"
"4264","Ckap5"
"4265","D330050G23Rik"
"4266","Stradb"
"4267","Chordc1"
"4268","Nif3l1"
"4269","Pak6"
"4270","Med19"
"4271","Epc1"
"4272","Reep2"
"4273","Pura"
"4274","Ssrp1"
"4275","Aqr"
"4276","Arhgap1"
"4277","Nt5c2"
"4278","A930006I01Rik"
"4279","Hnrnph1"
"4280","Fbxo3"
"4281","Actr1a"
"4282","Hipk3"
"4283","Zfp24"
"4284","Dcun1d5"
"4285","Dync2h1"
"4286","Taf4b"
"4287","Pccb"
"4288","Bdnf"
"4289","Bahd1"
"4290","Sorcs1"
"4291","Zscan29"
"4292","Map1a"
"4293","1700019D03Rik"
"4294","Serf2"
"4295","Ctdspl2"
"4296","Ppan"
"4297","Pcdhb16"
"4298","BC043934"
"4299","Pcdhb20"
"4300","Sfxn3"
"4301","Shf"
"4302","Slc30a4"
"4303","Cdc37"
"4304","Mettl21a"
"4305","Zfp106"
"4306","Ino80d"
"4307","Hars2"
"4308","Vps18"
"4309","Erdr1"
"4310","Zdbf2"
"4311","Rapgef4"
"4312","Sf3b1"
"4313","Pla2g4e"
"4314","Creb1"
"4315","Mgat1"
"4316","Rbck1"
"4317","Speg"
"4318","Tex30"
"4319","H2afx"
"4320","Zfp831"
"4321","Angel2"
"4322","mt-Nd1"
"4323","mt-Nd2"
"4324","Cops7b"
"4325","Smyd2"
"4326","Pmepa1"
"4327","4931440F15Rik"
"4328","mt-Nd4"
"4329","mt-Nd5"
"4330","Tnks2"
"4331","mt-Cytb"
"4332","Bod1"
"4333","Rtfdc1"
"4334","Zfp39"
"4335","Camk1g"
"4336","Zfp950"
"4337","Grik4"
"4338","Sh3pxd2b"
"4339","Bbs1"
"4340","Drap1"
"4341","Tmem25"
"4342","Fdft1"
"4343","Rgs19"
"4344","Phf3"
"4345","Akt3"
"4346","Pld6"
"4347","Gm14703"
"4348","Tmprss5"
"4349","Grem2"
"4350","Ncam1"
"4351","Usp34"
"4352","Kcnq5"
"4353","Samd10"
"4354","Kdm2a"
"4355","Zpr1"
"4356","Kat5"
"4357","Pcnxl3"
"4358","Adrm1"
"4359","Amer3"
"4360","Capn1"
"4361","Srp9"
"4362","Mrpl49"
"4363","Rbm6"
"4364","Gid8"
"4365","Rnf214"
"4366","Rtel1"
"4367","Lin9"
"4368","Adrbk1"
"4369","Irak1bp1"
"4370","Ankrd13d"
"4371","1110008F13Rik"
"4372","Surf1"
"4373","Inpp5e"
"4374","Poli"
"4375","Mfsd9"
"4376","Dcc"
"4377","Kcnt1"
"4378","Pgam1"
"4379","Slc4a3"
"4380","Lcor"
"4381","Src"
"4382","Ctif"
"4383","Katnal2"
"4384","St8sia5"
"4385","Tubb4b"
"4386","Nsmf"
"4387","Rexo4"
"4388","Bcl2l1"
"4389","Fam160b2"
"4390","Tpp2"
"4391","Setd2"
"4392","Mrps2"
"4393","Syncrip"
"4394","Atrnl1"
"4395","Abhd14a"
"4396","Tmem198"
"4397","Ggt7"
"4398","Ccar2"
"4399","Cacfd1"
"4400","Zmynd19"
"4401","Cacna1b"
"4402","Eif3a"
"4403","Slc12a5"
"4404","Elovl4"
"4405","Lonrf2"
"4406","Trp53rkb"
"4407","Camk1d"
"4408","Ndufv1"
"4409","Suv39h2"
"4410","Plce1"
"4411","Rwdd2a"
"4412","Kctd9"
"4413","Snx21"
"4414","Chd6"
"4415","Ptprt"
"4416","Hnmt"
"4417","Gm16286"
"4418","Scap"
"4419","Atp9b"
"4420","Rbm15b"
"4421","Rims4"
"4422","Cbln2"
"4423","Dok6"
