,Acinar,Ductal_term,Ductal_CRISP3,Cancer_A,Ductal_MHCII,Cancer_B,mDCs_A,Ductal_APOL1,Tuft,mDCs_B,pDCs,Endocrine,Endothelial,Macro_A,Mast,Macro_B,T_NK,Mono,RBC,Fibro
164,0.05738404,0.21647325,0.069824204,0.3455878,0.06381697,0.17477061,0.044738583,0.01707487,0.007505279,0.001988733,0.000506712,0.000177408,3.33E-05,8.68E-05,2.15E-05,2.68E-06,2.31E-06,1.87E-06,1.61E-06,1.45E-06
165,0.054180004,0.052089926,0.093375795,0.25260407,0.19610088,0.18373857,0.11359947,0.042993657,0.007636927,0.002580946,0.000665674,0.000184167,4.25E-05,0.000159572,3.58E-05,2.90E-06,2.61E-06,2.68E-06,2.10E-06,1.82E-06
166,0.018924112,0.11641408,0.014667702,0.79635155,0.012010424,0.030968888,0.007914605,0.002473949,0.000240208,3.15E-05,2.59E-06,2.70E-07,1.84E-08,1.69E-08,2.90E-09,1.78E-10,1.28E-10,7.10E-11,6.02E-11,5.23E-11
167,0.003427084,0.09186723,0.1244697,0.1298825,0.07054915,0.47520083,0.078736596,0.01627845,0.00719296,0.002204369,6.94E-05,4.15E-05,6.34E-06,7.13E-05,2.11E-06,9.04E-08,9.78E-08,8.15E-08,7.05E-08,5.28E-08
168,0.06743547,0.17449655,0.41236535,0.03510009,0.04027804,0.22408228,0.02965844,0.008248195,0.00525053,0.002622146,0.000208635,0.000109835,4.48E-05,7.92E-05,8.38E-06,2.79E-06,2.51E-06,2.80E-06,2.19E-06,1.81E-06
169,0.07001684,0.025313487,0.18226883,0.16164942,0.31801245,0.12589034,0.08296611,0.028169833,0.003833695,0.001619197,0.000193188,3.64E-05,9.07E-06,1.69E-05,3.01E-06,3.02E-07,2.69E-07,3.15E-07,2.18E-07,1.80E-07
170,0.06970452,0.10331378,0.2750216,0.18910913,0.21631218,0.08816566,0.03688844,0.014430987,0.004898673,0.001695258,0.000293108,9.21E-05,2.44E-05,3.69E-05,7.46E-06,1.37E-06,1.24E-06,1.36E-06,1.00E-06,8.66E-07
171,0.03751739,0.23495778,0.2547952,0.17503318,0.13942355,0.105033115,0.033254065,0.011109808,0.00648098,0.001869806,0.000281258,0.000132416,3.05E-05,6.41E-05,9.44E-06,1.78E-06,1.69E-06,1.58E-06,1.32E-06,1.13E-06
172,0.023333332,0.049270414,0.24223435,0.15299527,0.33935535,0.1118942,0.058149233,0.017943654,0.003609636,0.0010938,8.01E-05,2.29E-05,3.98E-06,1.24E-05,1.12E-06,8.86E-08,8.46E-08,9.19E-08,6.78E-08,5.45E-08
173,0.064371794,0.12157234,0.19996971,0.20095764,0.19884624,0.12926847,0.052303463,0.020681335,0.008169604,0.002756187,0.000619179,0.00023047,6.20E-05,0.00014014,3.03E-05,4.83E-06,4.53E-06,4.76E-06,3.68E-06,3.20E-06
174,0.1001246,0.18158045,0.1412387,0.20668067,0.18615672,0.10968462,0.04421653,0.017897407,0.008532763,0.002457374,0.000837721,0.000293966,7.13E-05,0.000149163,4.61E-05,7.81E-06,6.92E-06,6.78E-06,5.51E-06,4.96E-06
175,0.08611137,0.07731302,0.11257591,0.22936998,0.27641606,0.11397499,0.06890135,0.026532196,0.006281786,0.001771894,0.000509151,0.00012448,2.58E-05,6.67E-05,1.80E-05,1.81E-06,1.56E-06,1.62E-06,1.25E-06,1.10E-06
176,0.08917033,0.1005346,0.19674793,0.22319418,0.18409252,0.11891812,0.0523506,0.022673309,0.007887017,0.002981675,0.000843291,0.000281592,8.81E-05,0.000157176,4.41E-05,8.19E-06,7.43E-06,8.21E-06,6.13E-06,5.42E-06
177,0.081434384,0.1576592,0.21921135,0.17806965,0.1339779,0.14308119,0.048546344,0.020205522,0.010833105,0.004408267,0.001233204,0.000557936,0.000197278,0.000377641,0.000100112,2.40E-05,2.30E-05,2.41E-05,1.90E-05,1.68E-05
178,0.079215996,0.08398406,0.22946803,0.13965824,0.223535,0.14787814,0.060004868,0.0234254,0.008209453,0.003479588,0.000651081,0.000218245,6.99E-05,0.000147298,3.11E-05,5.29E-06,4.96E-06,5.57E-06,4.17E-06,3.63E-06
179,0.07868227,0.108685344,0.2721413,0.20150194,0.12737513,0.13571689,0.044528108,0.019106524,0.007494285,0.003389228,0.000741067,0.000287837,0.000104465,0.000163628,3.98E-05,9.48E-06,8.90E-06,1.01E-05,7.39E-06,6.43E-06
180,0.14244539,0.11008382,0.16516303,0.22309723,0.17127894,0.10657095,0.047562655,0.021773178,0.007473782,0.00283322,0.001052891,0.000306896,0.000102827,0.000149666,5.62E-05,1.18E-05,1.02E-05,1.12E-05,8.37E-06,7.63E-06
181,0.075622566,0.115123704,0.20317696,0.20312981,0.15217277,0.15558754,0.05602472,0.023555435,0.009748804,0.003929337,0.001003581,0.000395863,0.000130921,0.000272947,6.80E-05,1.29E-05,1.22E-05,1.31E-05,9.99E-06,8.80E-06
182,0.06556385,0.1617235,0.15445448,0.22722133,0.14962633,0.15166889,0.053268068,0.02121481,0.010198651,0.003264342,0.000931855,0.000388012,0.00010163,0.000264931,6.50E-05,1.04E-05,9.71E-06,9.70E-06,7.79E-06,6.83E-06
183,0.055417154,0.115442075,0.24251883,0.24203001,0.067858815,0.19799116,0.0469933,0.019197408,0.007503481,0.003585182,0.000716359,0.000315654,0.000116975,0.000222334,4.62E-05,1.02E-05,9.72E-06,1.05E-05,7.88E-06,6.66E-06
184,0.048844356,0.096465,0.1769041,0.29982397,0.14744721,0.14028451,0.058858603,0.022402057,0.006225006,0.002045638,0.000418333,0.00014201,3.47E-05,8.00E-05,1.58E-05,2.09E-06,1.91E-06,1.97E-06,1.49E-06,1.27E-06
185,0.004792658,0.18822463,0.000123972,0.7964777,0.007254273,0.002343779,0.000648719,0.000128592,5.74E-06,8.06E-08,1.08E-09,1.73E-11,4.60E-14,3.24E-14,3.98E-15,1.46E-17,6.66E-18,1.36E-18,1.63E-18,1.52E-18
186,0.009280738,0.08380907,0.003023522,0.826516,0.018118914,0.041478492,0.014295017,0.003290779,0.000175506,1.14E-05,6.04E-07,4.09E-08,8.53E-10,2.52E-09,2.87E-10,3.56E-12,2.38E-12,1.03E-12,1.00E-12,8.33E-13
187,0.002893162,0.18158256,0.056608006,0.5166438,0.01290947,0.2030592,0.019974936,0.004376843,0.001682276,0.000256974,8.26E-06,3.14E-06,2.18E-07,1.03E-06,4.21E-08,1.87E-09,1.72E-09,1.13E-09,9.74E-10,7.31E-10
188,0.04150293,0.10238975,0.28927547,0.13019438,0.18183048,0.17515141,0.052936077,0.017866764,0.006105145,0.002330873,0.000233867,8.73E-05,2.30E-05,6.10E-05,7.13E-06,1.01E-06,9.57E-07,1.01E-06,7.79E-07,6.48E-07
189,0.03226216,0.19696888,0.24122305,0.18770353,0.1357654,0.14187616,0.040525075,0.01360454,0.007266352,0.002211056,0.000303272,0.000146687,3.42E-05,8.94E-05,1.19E-05,1.90E-06,1.87E-06,1.77E-06,1.46E-06,1.23E-06
190,0.042110957,0.13361125,0.23783171,0.13880843,0.1731525,0.18436895,0.056676585,0.020157188,0.009005538,0.003325649,0.000467248,0.000208465,5.81E-05,0.000176312,2.46E-05,3.70E-06,3.62E-06,3.70E-06,2.95E-06,2.51E-06
191,0.083149515,0.09518245,0.23860225,0.17283727,0.1978223,0.12872985,0.050793126,0.020925876,0.007692269,0.003121369,0.000662703,0.000223992,7.19E-05,0.000129756,3.02E-05,5.70E-06,5.28E-06,5.95E-06,4.41E-06,3.84E-06
192,0.102751836,0.07612371,0.20898849,0.16430953,0.25752208,0.10761138,0.052420065,0.020890962,0.006208785,0.00237245,0.000519026,0.000140559,4.15E-05,6.91E-05,1.77E-05,2.96E-06,2.65E-06,3.02E-06,2.21E-06,1.93E-06
193,0.09765956,0.10187964,0.22723018,0.14104047,0.23543015,0.11766007,0.048626136,0.019281713,0.007365775,0.002815994,0.000605659,0.000192486,5.93E-05,0.00010656,2.56E-05,4.76E-06,4.36E-06,4.85E-06,3.64E-06,3.21E-06
194,0.13536716,0.10766512,0.172099,0.2085912,0.19611594,0.10108022,0.04688097,0.020775627,0.007277683,0.002655778,0.000928391,0.00026794,8.46E-05,0.000127302,4.53E-05,9.03E-06,7.84E-06,8.64E-06,6.47E-06,5.83E-06
195,0.11462671,0.12777904,0.17631945,0.18921252,0.12823029,0.15724769,0.056665085,0.026366033,0.012825724,0.005842162,0.002284711,0.000951552,0.000389069,0.000720643,0.000256759,6.37E-05,5.91E-05,6.47E-05,4.99E-05,4.52E-05
196,0.113986395,0.122959524,0.095573924,0.25548196,0.22174014,0.10439637,0.05508143,0.021899292,0.006374453,0.001640742,0.000593342,0.000145678,2.93E-05,6.54E-05,2.21E-05,2.57E-06,2.14E-06,2.05E-06,1.66E-06,1.51E-06
197,0.122245565,0.11131785,0.14456013,0.20975195,0.2058694,0.11629091,0.054140184,0.023319123,0.008149481,0.002750163,0.000985097,0.000289298,8.22E-05,0.00015797,5.36E-05,8.87E-06,7.77E-06,8.28E-06,6.37E-06,5.75E-06
198,0.10245554,0.05714382,0.14569569,0.20053938,0.30057377,0.09907364,0.062452815,0.024399213,0.005275988,0.00177057,0.000436841,9.67E-05,2.35E-05,4.41E-05,1.22E-05,1.49E-06,1.29E-06,1.45E-06,1.06E-06,9.15E-07
199,0.081659295,0.20461696,0.16538586,0.19068566,0.16041677,0.1189585,0.044841472,0.017858364,0.010313971,0.003237385,0.001044213,0.000451437,0.000123689,0.000268357,7.49E-05,1.49E-05,1.38E-05,1.35E-05,1.11E-05,9.92E-06
200,0.085620485,0.1461091,0.17437467,0.17953451,0.13297088,0.17352864,0.05865894,0.025460681,0.013657969,0.005738347,0.001928025,0.000887904,0.000328665,0.000762606,0.000222607,4.83E-05,4.61E-05,4.87E-05,3.85E-05,3.44E-05
201,0.12222004,0.10126983,0.12768592,0.21260265,0.27875236,0.084589824,0.047085863,0.018558951,0.005216672,0.001407755,0.000433569,9.89E-05,2.09E-05,3.84E-05,1.22E-05,1.56E-06,1.30E-06,1.35E-06,1.04E-06,9.28E-07
