,TM4SF1,C4A,CRISP3,CD248
317,6,0,0,1
318,4,0,0,0
319,26,0,0,0
320,36,2,0,5
321,0,0,0,0
322,3,0,0,1
323,1,0,0,0
324,1,0,0,0
325,1,0,0,0
326,3,1,0,0
327,8,0,0,0
328,7,0,0,0
329,3,0,0,0
330,7,0,0,0
331,8,0,1,2
332,13,0,0,3
333,2,0,0,1
334,6,0,0,0
335,6,0,0,0
336,0,0,0,0
337,0,0,0,0
338,0,0,0,0
339,8,0,0,0
340,28,0,0,0
341,18,0,0,1
342,4,0,0,0
343,2,0,0,1
344,14,0,0,1
345,15,0,0,3
346,0,0,0,0
347,4,0,0,0
348,0,0,0,0
349,32,0,0,3
350,31,0,0,0
351,7,0,0,1
352,1,0,0,1
353,9,0,0,0
354,13,0,0,0
355,1,0,0,0
356,12,0,0,0
357,10,0,0,0
358,3,0,0,0
359,0,0,0,0
360,0,0,0,0
361,0,2,0,1
362,4,2,4,0
363,1,3,1,0
364,0,0,0,0
365,5,0,0,0
366,17,0,0,0
367,0,0,0,2
368,0,0,0,0
369,1,0,0,0
370,3,0,0,0
371,0,0,1,1
372,15,3,12,0
373,1,0,0,2
374,1,0,0,4
375,0,0,0,0
376,0,0,0,0
377,0,1,0,0
378,1,0,0,1
379,0,1,4,0
380,5,2,0,4
381,4,2,0,6
382,2,2,1,4
383,0,0,0,3
384,0,0,2,0
385,0,1,1,0
386,2,0,0,0
387,1,0,0,0
388,0,0,0,0
389,6,16,0,13
390,1,4,0,3
391,1,1,0,4
392,1,1,0,3
393,2,2,0,1
394,0,0,0,1
395,2,0,3,0
396,2,1,2,0
397,4,3,17,0
398,4,2,4,0
399,3,3,1,0
400,4,3,0,2
401,2,1,0,4
402,0,1,0,3
403,0,0,0,0
404,1,0,0,1
405,2,0,6,0
406,0,3,1,0
407,0,3,0,0
408,0,1,0,0
409,1,0,1,0
410,0,0,6,0
411,0,1,1,0
412,0,1,1,0
413,1,0,0,1
414,0,0,0,1
415,2,0,0,0
416,3,0,0,0
417,0,0,7,0
418,0,0,0,0
419,2,1,1,0
420,3,3,2,0
421,3,2,4,0
422,1,1,1,0
423,3,0,0,1
424,0,0,0,0
425,0,0,0,0
426,1,0,0,0
427,0,0,0,0
