,TM4SF1,C4A,CRISP3,CD248
185,0.416666667,0,0,0.076923077
186,0.527777778,0,0,0.153846154
187,0.472222222,0,0,0.230769231
188,0.027777778,0.210526316,0.058823529,0
189,0,0.263157895,0,0
190,0.138888889,0.210526316,0,0.153846154
191,0,0,0,0.076923077
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0.052631579,0,0
196,0,0,0,0.076923077
197,0,0,0,0
198,0,0,0,0
199,0.027777778,0.052631579,0,0
200,0.027777778,0,0,0
201,0.027777778,0,0,0
202,0,0,0,0
203,0.055555556,0,0,0
204,0.027777778,0,0,0
205,0.055555556,0,0,0
206,0.277777778,0.052631579,0,0
207,0.083333333,0,0,0
208,0.083333333,0,0,0.076923077
209,0.027777778,0.052631579,0,0
210,0.027777778,0.105263158,0,0
211,0.055555556,0,0,0
212,0.027777778,0,0,0.153846154
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0.076923077
217,0.027777778,0,0.058823529,0
218,0,0,0.058823529,0
219,0,0,0,0
220,0,0.052631579,0,0
221,0,0,0,0
222,0,0,0,0
223,0,0,0,0.076923077
224,0.083333333,0,0,0
225,0.25,0,0,0
226,0.111111111,0,0,0
227,0.166666667,0,0,0
228,0.472222222,0,0,0
229,0.25,0,0,0
230,0.222222222,0,0,0.076923077
231,0,0.105263158,0,0.076923077
232,0,0,0,0
233,0,0,0,0
234,0,0,0,0
235,0.027777778,0,0,0
236,0,0.052631579,0,0
237,0,0,0,0
238,0.027777778,0,0,0
239,0.027777778,0,0,0
240,0,0,0,0
241,0,0,0,0
242,0.055555556,0,0,0
243,0,0,0,0
244,0,0,0,0
245,0.138888889,0.052631579,0,0
246,0.666666667,0,0,0
247,0.305555556,0,0,0
248,0.166666667,0,0,0
249,0.416666667,0,0,0.076923077
250,0.055555556,0,0,0
251,0.055555556,0,0,0
252,0.027777778,0,0,0
253,0.027777778,0,0,0
254,0,0,0,0
255,0,0,0,0
256,0,0,0,0
257,0.055555556,0,0,0
258,0,0,0,0
259,0.055555556,0,0,0
260,0,0,0,0
261,0,0,0,0
262,0,0,0,0
263,0.055555556,0,0,0
264,0.055555556,0,0,0
265,0.444444444,0,0,0
266,0.111111111,0.052631579,0,0.230769231
267,0.277777778,0,0,0.230769231
268,0.138888889,0.052631579,0,0.076923077
269,0.194444444,0,0,0
270,0.027777778,0,0,0
271,0.027777778,0.052631579,0,0
272,0.055555556,0.105263158,0,0
273,0.055555556,0,0,0.076923077
274,0,0,0,0
275,0,0,0,0
276,0,0,0,0
277,0,0,0,0
278,0,0,0,0
279,0,0,0,0
