,GC,PGC,M/TC,OSNs,EPL-IN
15.98x23.961,0.6268804,0.13025834,0.1695524,0.02504926,0.048259564
15.009x22.966,0.61249065,0.13182132,0.16900502,0.03610294,0.050580103
15.073x23.973,0.5728685,0.13198198,0.1598729,0.07461016,0.06066645
13.048x23.951,0.57534146,0.12567922,0.15534383,0.07752278,0.06611271
13.067x22.915,0.5931045,0.13217136,0.16400479,0.044658367,0.066061035
14.05x23.965,0.51772326,0.17457508,0.14678773,0.09429271,0.066621184
14.048x22.95,0.5673072,0.14951509,0.1637408,0.05055572,0.06888126
13.111x24.919,0.6330206,0.10472168,0.19943735,0.016214253,0.046606112
14.085x24.905,0.6651141,0.1006477,0.17687568,0.011825327,0.045537192
15.033x24.886,0.528265,0.17625159,0.15754957,0.08858168,0.04935214
15.953x24.959,0.58996856,0.12434278,0.17118861,0.040114798,0.07438531
29.058x18.046,0.45583075,0.19225498,0.18335967,0.11471662,0.05383799
29.077x18.972,0.44794545,0.1942883,0.16970415,0.12359871,0.0644635
29.042x20.088,0.4496724,0.17694835,0.18849063,0.12855121,0.056337353
28.971x20.971,0.42390344,0.1851145,0.1898955,0.1320743,0.06901228
28.989x21.969,0.4328489,0.2123197,0.17311344,0.11351392,0.06820411
27.011x20.052,0.4170839,0.2539091,0.1546857,0.10306122,0.07126012
26.98x18.983,0.43020788,0.21092135,0.17350267,0.12185214,0.063515946
26.993x17.966,0.46010628,0.16309562,0.1754687,0.12963703,0.07169232
27.979x17.991,0.4473739,0.17853756,0.16421884,0.13746367,0.072406024
28.011x18.987,0.46937585,0.17770118,0.16910541,0.12037191,0.06344568
27.995x20.017,0.45194435,0.19321874,0.15437323,0.12735778,0.07310591
25.06x19.024,0.45312074,0.2092746,0.16780166,0.110296726,0.059506327
25.062x20.007,0.44584578,0.21201783,0.17791392,0.10463621,0.059586182
26.027x20.023,0.42244744,0.23731206,0.18519369,0.096667804,0.058379013
26.064x17.981,0.3927013,0.27295017,0.17263128,0.0941659,0.06755134
25.044x18.022,0.44117936,0.20968129,0.18948494,0.10821547,0.05143897
26.071x18.994,0.4315957,0.25270674,0.15441947,0.092547104,0.068730995
26.111x21.979,0.451313,0.20568505,0.2752866,0.039284863,0.028430464
25.055x21.994,0.7044678,0.07493305,0.17537744,0.008224827,0.036996942
26.076x20.965,0.4590531,0.21580969,0.16688482,0.10152707,0.05672537
25.04x21.01,0.4779966,0.18916528,0.29108462,0.011439476,0.030313976
27.937x20.97,0.37956777,0.2589789,0.18299499,0.10761842,0.07083993
27.038x20.951,0.41904858,0.23569751,0.17604403,0.10419052,0.06501936
26.991x21.958,0.44389626,0.2181131,0.16399457,0.10720637,0.06678969
27.97x21.947,0.41631463,0.24816717,0.17559087,0.09729746,0.0626299
27.977x22.897,0.39429897,0.24674365,0.2371001,0.07140616,0.0504511
28.0x23.902,0.4418057,0.22128336,0.19289158,0.09414341,0.049875982
27.012x22.908,0.4092055,0.21534644,0.2375228,0.09337186,0.044553388
26.993x23.896,0.48780382,0.20373812,0.2378897,0.027737966,0.042830434
26.03x23.935,0.6965433,0.06986599,0.16418608,0.013352093,0.05605253
26.072x22.884,0.64845955,0.11369362,0.17021385,0.015087176,0.052545764
